cell_id,category,elicitation,mechanism,match_rate,total_value_per_customer,attention_per_customer,net_welfare_per_customer,d_hat_i_obs,d_hat_j_obs,reciprocity_obs
easy_0058,easy,standard,search,0.75,0.5018167444841787,12.925,0.3725667444841787,0.495,0.48,0.21
easy_0059,easy,ai,central,0.55,0.3822625306181705,10.0,0.2822625306181705,0.51,0.555,0.25
easy_0060,easy,ai,central,0.6,0.42072527066860693,10.0,0.3207252706686069,0.58,0.545,0.245
easy_0061,easy,ai,search,0.7,0.45163732587791017,13.475,0.31688732587791013,0.54,0.545,0.235
easy_0062,easy,standard,central,0.55,0.3581335168754518,10.0,0.25813351687545183,0.48,0.47,0.18
easy_0063,easy,standard,search,0.725,0.5051259522388262,13.4,0.37112595223882616,0.53,0.52,0.275
easy_0064,easy,standard,central,0.55,0.376607502202096,10.0,0.27660750220209596,0.545,0.415,0.185
easy_0065,easy,ai,search,0.7,0.45706496130070295,13.25,0.32456496130070295,0.485,0.49,0.2
easy_0066,easy,ai,central,0.55,0.3782704107300391,10.0,0.2782704107300391,0.59,0.52,0.225
easy_0067,easy,standard,central,0.55,0.3849328669573801,10.0,0.28493286695738007,0.575,0.42,0.195
easy_0068,easy,standard,search,0.65,0.4549113445924123,14.6,0.3089113445924123,0.535,0.42,0.165
easy_0069,easy,standard,central,0.525,0.36640343817264076,10.0,0.2664034381726408,0.515,0.5,0.195
easy_0070,easy,ai,search,0.7,0.4642175603930201,13.075,0.33346756039302006,0.545,0.545,0.28
easy_0071,easy,standard,central,0.6,0.4247863942881261,10.0,0.32478639428812606,0.58,0.4,0.2
easy_0072,easy,standard,search,0.675,0.47025267597349796,13.1,0.33925267597349795,0.53,0.495,0.255
easy_0073,easy,ai,search,0.675,0.47145596977424187,13.0,0.34145596977424186,0.525,0.59,0.245
easy_0074,easy,ai,central,0.675,0.45145850781969876,10.0,0.3514585078196988,0.58,0.53,0.24
easy_0075,easy,ai,central,0.65,0.43306104675044355,10.0,0.33306104675044357,0.58,0.525,0.27
easy_0076,easy,standard,central,0.575,0.3872738348846613,10.0,0.2872738348846613,0.51,0.47,0.185
easy_0077,easy,ai,search,0.675,0.4317969403237485,13.3,0.2987969403237485,0.49,0.515,0.245
easy_0078,easy,ai,search,0.65,0.4426477506198032,14.9,0.2936477506198032,0.555,0.485,0.195
easy_0079,easy,standard,central,0.4,0.278739663499103,10.0,0.178739663499103,0.5,0.395,0.14
easy_0080,easy,standard,central,0.55,0.3751736906725419,10.0,0.27517369067254194,0.485,0.485,0.23
easy_0081,easy,ai,central,0.55,0.3645706033293572,10.0,0.2645706033293572,0.535,0.47,0.19
easy_0082,easy,standard,search,0.65,0.45004553076556464,14.175,0.3082955307655646,0.53,0.45,0.19
easy_0083,easy,standard,central,0.575,0.37308714263055703,10.0,0.273087142630557,0.55,0.415,0.175
easy_0084,easy,standard,search,0.65,0.4423606452539799,13.65,0.3058606452539799,0.53,0.515,0.255
easy_0085,easy,ai,central,0.525,0.35178547928647597,10.0,0.251785479286476,0.46,0.54,0.195
easy_0086,easy,standard,central,0.6,0.41391291139120706,10.0,0.31391291139120703,0.545,0.455,0.23
easy_0087,easy,ai,search,0.65,0.425907241859339,14.325,0.282657241859339,0.53,0.54,0.22
easy_0088,easy,standard,search,0.7,0.4685420100621382,13.7,0.33154201006213824,0.505,0.47,0.175
easy_0089,easy,ai,central,0.525,0.35635389063609546,10.0,0.2563538906360955,0.535,0.48,0.175
easy_0090,easy,ai,central,0.625,0.43366929490977657,10.0,0.3336692949097766,0.58,0.47,0.215
easy_0091,easy,ai,central,0.575,0.3843487315542862,10.0,0.2843487315542862,0.56,0.46,0.225
easy_0092,easy,standard,search,0.675,0.468343892168512,14.3,0.325343892168512,0.565,0.425,0.195
easy_0093,easy,standard,search,0.65,0.4431704031893742,13.425,0.3089204031893742,0.57,0.52,0.25
easy_0094,easy,standard,central,0.45,0.2895938909132908,10.0,0.1895938909132908,0.475,0.425,0.135
easy_0095,easy,ai,central,0.525,0.3541861283021268,10.0,0.25418612830212683,0.55,0.53,0.25
easy_0096,easy,ai,central,0.675,0.42498774529045064,10.0,0.3249877452904506,0.495,0.48,0.225
easy_0097,easy,standard,central,0.55,0.3904484490048369,10.0,0.2904484490048369,0.5,0.525,0.215
easy_0098,easy,standard,central,0.55,0.3630316782459984,10.0,0.2630316782459984,0.59,0.39,0.205
easy_0099,easy,standard,search,0.675,0.4559292889898254,13.5,0.32092928898982537,0.51,0.46,0.2
easy_0100,easy,standard,search,0.7,0.48169802248027277,13.9,0.34269802248027276,0.595,0.46,0.235
easy_0101,easy,standard,central,0.6,0.3994939286064733,10.0,0.2994939286064733,0.555,0.485,0.225
easy_0102,easy,ai,central,0.525,0.36576344054668486,10.0,0.2657634405466849,0.535,0.49,0.19
easy_0103,easy,ai,central,0.6,0.4120647270682055,10.0,0.31206472706820554,0.59,0.535,0.26
easy_0104,easy,standard,central,0.55,0.3750549505027712,10.0,0.2750549505027712,0.515,0.425,0.225
easy_0105,easy,standard,central,0.625,0.4395058843376627,10.0,0.3395058843376627,0.57,0.495,0.23
easy_0106,easy,ai,central,0.675,0.4695172103293688,10.0,0.3695172103293688,0.605,0.515,0.255
easy_0107,easy,standard,central,0.5,0.34460706890574266,10.0,0.24460706890574266,0.45,0.48,0.18
easy_0108,easy,standard,search,0.65,0.4298146746404873,13.9,0.29081467464048727,0.525,0.47,0.185
easy_0109,easy,standard,search,0.7,0.4576613401901854,14.175,0.3159113401901854,0.535,0.41,0.19
easy_0110,easy,ai,search,0.725,0.48882572978202693,11.8,0.37082572978202694,0.525,0.58,0.225
easy_0111,easy,ai,central,0.55,0.36439720612400783,10.0,0.26439720612400786,0.545,0.485,0.235
easy_0112,easy,standard,central,0.5,0.32347397472035067,10.0,0.22347397472035066,0.515,0.42,0.145
easy_0113,easy,standard,central,0.575,0.40372700427693387,10.0,0.3037270042769339,0.55,0.51,0.25
easy_0114,easy,standard,central,0.525,0.371937183304648,10.0,0.271937183304648,0.515,0.46,0.22
easy_0115,easy,ai,central,0.625,0.3903077291476677,10.0,0.29030772914766767,0.57,0.51,0.24
easy_0116,easy,standard,search,0.675,0.44016043118009945,14.925,0.2909104311800994,0.52,0.415,0.17
easy_0117,easy,standard,search,0.7,0.4706543362159271,12.85,0.3421543362159271,0.51,0.445,0.19
easy_0118,easy,ai,search,0.7,0.48479494835037285,14.2,0.34279494835037283,0.5,0.59,0.25
easy_0119,easy,ai,central,0.675,0.43237946417557255,10.0,0.3323794641755725,0.485,0.575,0.24
easy_0120,easy,ai,central,0.575,0.39538033290307184,10.0,0.29538033290307186,0.54,0.485,0.235
easy_0121,easy,standard,search,0.7,0.48092712165300566,14.675,0.3341771216530056,0.405,0.57,0.17
easy_0122,easy,ai,search,0.675,0.4754157077911799,12.475,0.3506657077911799,0.525,0.495,0.225
easy_0123,easy,standard,search,0.575,0.40227689460795835,16.825,0.23402689460795836,0.58,0.45,0.205
easy_0124,easy,ai,central,0.625,0.43777910749767257,10.0,0.3377791074976726,0.545,0.53,0.225
easy_0125,easy,standard,central,0.525,0.37225105411207965,10.0,0.2722510541120796,0.55,0.47,0.195
easy_0126,easy,standard,central,0.475,0.3240505436414382,10.0,0.2240505436414382,0.57,0.425,0.21
easy_0127,easy,standard,search,0.6,0.43169470173592306,15.05,0.28119470173592304,0.52,0.465,0.19
easy_0128,easy,ai,search,0.575,0.3799934851179575,16.525,0.21474348511795752,0.555,0.505,0.205
easy_0129,easy,standard,search,0.7,0.491345890449416,13.925,0.352095890449416,0.45,0.465,0.175
easy_0130,easy,ai,central,0.6,0.3879650828194775,10.0,0.2879650828194775,0.615,0.48,0.225
easy_0131,easy,standard,central,0.675,0.45237250488522235,10.0,0.3523725048852223,0.56,0.47,0.24
easy_0132,easy,ai,central,0.65,0.4181527243644241,10.0,0.3181527243644241,0.495,0.53,0.22
easy_0133,easy,ai,search,0.75,0.4953877228045827,12.95,0.3658877228045827,0.53,0.545,0.225
easy_0134,easy,ai,search,0.675,0.45992288176959945,12.8,0.33192288176959944,0.525,0.495,0.21
easy_0135,easy,standard,central,0.55,0.35691441060503193,10.0,0.25691441060503195,0.54,0.445,0.185
easy_0136,easy,ai,search,0.6,0.4170080222332794,15.35,0.2635080222332794,0.5,0.585,0.255
easy_0137,easy,standard,search,0.525,0.3506060695480219,17.275,0.17785606954802194,0.435,0.445,0.16
easy_0138,easy,ai,search,0.75,0.5135352884170918,12.35,0.39003528841709184,0.545,0.565,0.26
easy_0139,easy,ai,central,0.45,0.29588870533383177,10.0,0.19588870533383176,0.425,0.5,0.15
easy_0140,easy,ai,central,0.525,0.38309797193265627,10.0,0.2830979719326563,0.5,0.585,0.23
easy_0141,easy,standard,central,0.55,0.38172728947761575,10.0,0.2817272894776157,0.39,0.47,0.19
easy_0142,easy,standard,search,0.625,0.44131061603282273,15.375,0.28756061603282274,0.585,0.42,0.195
easy_0143,easy,ai,search,0.75,0.5115369421199943,12.325,0.38828694211999437,0.66,0.51,0.265
easy_0144,easy,standard,search,0.7,0.4783645844757336,13.675,0.34161458447573356,0.6,0.38,0.2
easy_0145,easy,ai,central,0.6,0.3991518511580124,10.0,0.29915185115801235,0.605,0.475,0.2
easy_0146,easy,standard,central,0.575,0.39981647467225667,10.0,0.2998164746722567,0.56,0.485,0.235
easy_0147,easy,ai,central,0.525,0.3493508364732951,10.0,0.24935083647329512,0.515,0.475,0.215
easy_0148,easy,ai,search,0.65,0.4625239780776467,14.575,0.31677397807764673,0.545,0.48,0.21
easy_0149,easy,standard,search,0.65,0.4400747371552797,14.425,0.2958247371552797,0.575,0.45,0.235
easy_0150,easy,ai,search,0.65,0.43702433708924593,14.175,0.2952743370892459,0.52,0.565,0.255
easy_0151,easy,standard,search,0.575,0.3876781955679933,15.975,0.22792819556799332,0.445,0.445,0.155
easy_0152,easy,ai,central,0.525,0.3508693030517885,10.0,0.25086930305178845,0.53,0.52,0.225
easy_0153,easy,standard,central,0.575,0.40662457391279905,10.0,0.30662457391279907,0.465,0.555,0.215
easy_0154,easy,ai,central,0.7,0.4930469834226508,10.0,0.39304698342265076,0.54,0.6,0.305
easy_0155,easy,ai,search,0.625,0.4228750206924886,14.25,0.2803750206924886,0.44,0.555,0.21
easy_0156,easy,standard,search,0.675,0.46479105640087226,13.25,0.33229105640087225,0.525,0.435,0.23
easy_0157,easy,standard,search,0.5,0.31742077342080843,18.35,0.1339207734208084,0.445,0.39,0.105
easy_0158,easy,ai,central,0.6,0.39971436946278693,10.0,0.29971436946278696,0.515,0.555,0.245
easy_0159,easy,ai,search,0.575,0.40438253981363215,16.625,0.23813253981363214,0.495,0.44,0.18
easy_0160,easy,ai,search,0.6,0.4229687495166082,15.35,0.26946874951660815,0.565,0.46,0.21
easy_0161,easy,ai,search,0.75,0.5192225950566981,11.95,0.3997225950566981,0.495,0.57,0.205
easy_0162,easy,ai,search,0.75,0.5078069533744347,12.3,0.3848069533744347,0.53,0.51,0.215
easy_0163,easy,standard,central,0.425,0.29846490777443013,10.0,0.19846490777443013,0.58,0.39,0.18
easy_0164,easy,standard,search,0.675,0.46303180771260666,14.175,0.3212818077126066,0.66,0.39,0.225
easy_0165,easy,standard,search,0.65,0.4504399959258337,14.575,0.30468999592583373,0.515,0.375,0.155
easy_0166,easy,ai,central,0.55,0.3684873266334117,10.0,0.2684873266334117,0.51,0.465,0.21
easy_0167,easy,ai,central,0.525,0.35231787678790727,10.0,0.2523178767879073,0.545,0.465,0.195
easy_0168,easy,ai,search,0.65,0.45962560209307457,14.025,0.3193756020930746,0.555,0.5,0.19
easy_0169,easy,ai,search,0.75,0.5070186310630207,13.0,0.3770186310630207,0.58,0.44,0.195
easy_0170,easy,standard,search,0.65,0.4352346245616584,15.175,0.28348462456165835,0.485,0.515,0.205
easy_0171,easy,standard,central,0.575,0.38766433936007255,10.0,0.2876643393600725,0.55,0.46,0.22
easy_0172,easy,standard,central,0.525,0.356076710801601,10.0,0.256076710801601,0.525,0.375,0.16
easy_0173,easy,standard,search,0.65,0.44104919451122315,14.1,0.30004919451122314,0.48,0.505,0.21
easy_0174,easy,standard,search,0.65,0.42765755656145055,14.6,0.28165755656145053,0.505,0.455,0.175
easy_0175,easy,standard,central,0.6,0.42863359086504466,10.0,0.3286335908650446,0.525,0.535,0.22
easy_0176,easy,ai,central,0.6,0.4086700807936894,10.0,0.3086700807936894,0.535,0.56,0.23
easy_0177,easy,standard,search,0.625,0.42359012007929053,17.95,0.24409012007929054,0.38,0.43,0.135
easy_0178,easy,standard,central,0.475,0.3294481495863231,10.0,0.22944814958632312,0.56,0.41,0.175
easy_0179,easy,ai,search,0.675,0.4620994054702502,14.375,0.31834940547025015,0.595,0.44,0.21
easy_0180,easy,ai,central,0.5,0.3304716281892854,10.0,0.23047162818928538,0.445,0.47,0.175
easy_0181,easy,standard,search,0.65,0.470044740949821,12.9,0.341044740949821,0.565,0.5,0.25
easy_0182,easy,standard,central,0.525,0.37588447536894876,10.0,0.2758844753689488,0.545,0.465,0.2
easy_0183,easy,ai,search,0.575,0.37891670299845737,16.075,0.21816670299845736,0.54,0.43,0.17
easy_0184,easy,ai,search,0.65,0.4402237273711793,13.6,0.3042237273711793,0.53,0.54,0.26
easy_0185,easy,standard,search,0.675,0.46420170029481167,14.65,0.31770170029481165,0.5,0.48,0.23
easy_0186,easy,ai,central,0.6,0.40697905606120754,10.0,0.30697905606120757,0.5,0.595,0.265
easy_0187,easy,ai,central,0.65,0.42615786251813725,10.0,0.3261578625181373,0.55,0.605,0.265
easy_0188,easy,standard,central,0.45,0.3042169397098341,10.0,0.2042169397098341,0.56,0.415,0.165
easy_0189,easy,ai,central,0.575,0.40361816579319154,10.0,0.30361816579319156,0.51,0.525,0.2
easy_0190,easy,standard,central,0.575,0.4076382214396963,10.0,0.3076382214396963,0.525,0.49,0.24
easy_0191,easy,standard,central,0.45,0.30601028814338516,10.0,0.20601028814338515,0.425,0.575,0.16
easy_0192,easy,standard,central,0.6,0.38461100148190813,10.0,0.2846110014819081,0.49,0.495,0.21
easy_0193,easy,ai,central,0.525,0.36463278280802963,10.0,0.2646327828080296,0.485,0.59,0.23
easy_0194,easy,ai,search,0.75,0.49229829720118207,12.525,0.36704829720118204,0.555,0.46,0.205
easy_0195,easy,standard,search,0.6,0.3954713052471408,17.35,0.2219713052471408,0.405,0.525,0.145
easy_0196,easy,standard,search,0.725,0.49834165868475483,12.4,0.37434165868475483,0.565,0.495,0.26
easy_0197,easy,ai,search,0.7,0.5019170408490774,13.35,0.3684170408490774,0.575,0.555,0.245
easy_0198,easy,standard,search,0.7,0.4754710046172409,14.35,0.33197100461724094,0.525,0.465,0.2
easy_0199,easy,standard,central,0.425,0.3029496606961821,10.0,0.20294966069618212,0.435,0.495,0.17
hard_0000,hard,standard,central,0.5,0.35428351704201827,10.0,0.25428351704201824,0.51,0.42,0.2
hard_0001,hard,ai,central,0.475,0.29445776477991015,10.0,0.19445776477991014,0.44,0.51,0.17
hard_0002,hard,standard,central,0.5,0.3447322751655953,10.0,0.2447322751655953,0.505,0.41,0.15
hard_0003,hard,ai,search,0.65,0.45618513297993885,14.325,0.31293513297993886,0.5,0.6,0.235
hard_0004,hard,ai,central,0.5,0.3271997294337249,10.0,0.22719972943372488,0.42,0.56,0.18
hard_0005,hard,ai,search,0.675,0.478776690386451,14.55,0.33327669038645097,0.51,0.525,0.195
hard_0006,hard,standard,search,0.625,0.40438915601848724,15.175,0.2526391560184872,0.52,0.45,0.21
hard_0007,hard,standard,central,0.575,0.3835826291774299,10.0,0.28358262917742993,0.43,0.48,0.17
hard_0008,hard,standard,search,0.65,0.41600522892300046,14.925,0.2667552289230004,0.525,0.425,0.165
hard_0009,hard,ai,search,0.6,0.4019210065942569,15.75,0.2444210065942569,0.45,0.54,0.195
hard_0010,hard,ai,central,0.475,0.31156652027425447,10.0,0.21156652027425446,0.525,0.42,0.165
hard_0011,hard,standard,search,0.625,0.44029357801601765,14.225,0.29804357801601766,0.535,0.415,0.195
hard_0012,hard,ai,search,0.625,0.42291556388055007,16.175,0.26116556388055007,0.42,0.49,0.165
hard_0013,hard,standard,central,0.575,0.3687740906404741,10.0,0.2687740906404741,0.51,0.48,0.2
hard_0014,hard,standard,central,0.475,0.32547680190629047,10.0,0.22547680190629046,0.535,0.4,0.17
hard_0015,hard,ai,central,0.6,0.4033852788656416,10.0,0.3033852788656416,0.525,0.62,0.27
hard_0016,hard,ai,central,0.6,0.4148756895730603,10.0,0.31487568957306034,0.565,0.555,0.25
hard_0017,hard,ai,central,0.5,0.3453574668453266,10.0,0.24535746684532658,0.465,0.595,0.2
hard_0018,hard,standard,central,0.475,0.3159194376250698,10.0,0.2159194376250698,0.46,0.46,0.18
hard_0019,hard,ai,search,0.6,0.39333142871713267,15.7,0.23633142871713267,0.48,0.435,0.18
hard_0020,hard,standard,central,0.55,0.389667992305758,10.0,0.289667992305758,0.43,0.515,0.19
hard_0021,hard,standard,central,0.525,0.37216360902129014,10.0,0.2721636090212901,0.515,0.41,0.19
hard_0022,hard,ai,central,0.475,0.3204623865457431,10.0,0.2204623865457431,0.49,0.525,0.19
hard_0023,hard,standard,search,0.625,0.40205840841421825,15.8,0.24405840841421825,0.435,0.46,0.15
hard_0024,hard,standard,search,0.625,0.45345807610526173,14.325,0.31020807610526174,0.505,0.52,0.215
hard_0025,hard,standard,search,0.6,0.4084644913165104,14.9,0.2594644913165104,0.515,0.465,0.23
hard_0026,hard,standard,search,0.55,0.37138077005159204,17.175,0.19963077005159202,0.48,0.415,0.145
hard_0027,hard,standard,central,0.425,0.2835052820987077,10.0,0.18350528209870767,0.415,0.42,0.135
hard_0028,hard,ai,search,0.725,0.4909141921073556,13.775,0.3531641921073556,0.515,0.49,0.2
hard_0029,hard,ai,central,0.5,0.33297547923130616,10.0,0.23297547923130615,0.465,0.525,0.19
hard_0030,hard,standard,central,0.45,0.3082763241008534,10.0,0.20827632410085342,0.445,0.385,0.165
hard_0031,hard,ai,central,0.5,0.3443123196529221,10.0,0.24431231965292208,0.575,0.485,0.2
hard_0032,hard,standard,search,0.575,0.36822156117974236,16.925,0.19897156117974235,0.495,0.44,0.205
hard_0033,hard,ai,search,0.675,0.44218990438099104,14.475,0.29743990438099105,0.535,0.435,0.19
hard_0034,hard,standard,central,0.5,0.35124606236989,10.0,0.25124606236989,0.51,0.49,0.195
hard_0035,hard,standard,central,0.5,0.3457809523115834,10.0,0.2457809523115834,0.575,0.44,0.2
hard_0036,hard,ai,central,0.525,0.3625664011302287,10.0,0.26256640113022867,0.615,0.405,0.21
hard_0037,hard,ai,search,0.625,0.42472835742238485,16.0,0.2647283574223849,0.48,0.495,0.195
hard_0038,hard,ai,search,0.675,0.47420763488989975,14.55,0.32870763488989974,0.595,0.485,0.24
hard_0039,hard,ai,central,0.525,0.3793914657871338,10.0,0.2793914657871338,0.6,0.42,0.195
hard_0040,hard,standard,search,0.65,0.4463043162486815,16.2,0.28430431624868147,0.555,0.42,0.195
hard_0041,hard,standard,central,0.55,0.3977775209179003,10.0,0.29777752091790033,0.535,0.42,0.185
hard_0042,hard,ai,search,0.6,0.39985969181234127,17.45,0.22535969181234128,0.45,0.54,0.2
hard_0043,hard,ai,central,0.55,0.37682623576316765,10.0,0.27682623576316767,0.57,0.5,0.225
hard_0044,hard,ai,central,0.5,0.3425842758223522,10.0,0.24258427582235217,0.53,0.48,0.185
hard_0045,hard,ai,search,0.6,0.42442448037507896,15.05,0.27392448037507894,0.565,0.48,0.205
hard_0046,hard,standard,central,0.475,0.32534811053428314,10.0,0.22534811053428314,0.545,0.355,0.165
hard_0047,hard,standard,central,0.5,0.33738148208824936,10.0,0.23738148208824936,0.52,0.405,0.17
hard_0048,hard,ai,central,0.425,0.2953158551307052,10.0,0.19531585513070518,0.545,0.44,0.19
hard_0049,hard,ai,search,0.7,0.4699265462142003,12.575,0.34417654621420035,0.49,0.54,0.21
hard_0050,hard,standard,search,0.725,0.5126130887303025,13.675,0.3758630887303025,0.495,0.45,0.21
hard_0051,hard,standard,central,0.475,0.32595331343189254,10.0,0.22595331343189254,0.445,0.48,0.175
hard_0052,hard,standard,search,0.575,0.3947814121499138,16.8,0.2267814121499138,0.555,0.43,0.245
hard_0053,hard,ai,central,0.5,0.329472305879197,10.0,0.229472305879197,0.505,0.475,0.21
hard_0054,hard,ai,central,0.45,0.29385987362096944,10.0,0.19385987362096943,0.425,0.55,0.175
hard_0055,hard,ai,search,0.6,0.41020244518867743,15.425,0.25595244518867744,0.535,0.435,0.18
hard_0056,hard,standard,central,0.5,0.33570611347917395,10.0,0.23570611347917395,0.605,0.39,0.185
hard_0057,hard,standard,central,0.45,0.30777792576748925,10.0,0.20777792576748924,0.495,0.425,0.15
hard_0058,hard,standard,search,0.7,0.4936545862787011,13.4,0.3596545862787011,0.555,0.455,0.215
hard_0059,hard,standard,central,0.5,0.33719560869875365,10.0,0.23719560869875364,0.55,0.39,0.21
hard_0060,hard,standard,search,0.65,0.4371922232287141,14.625,0.2909422232287141,0.43,0.46,0.175
hard_0061,hard,standard,central,0.475,0.33922525265343445,10.0,0.23922525265343444,0.42,0.475,0.195
hard_0062,hard,standard,search,0.675,0.4462328685667941,13.9,0.3072328685667941,0.55,0.475,0.195
hard_0063,hard,ai,central,0.45,0.30214691295499585,10.0,0.20214691295499584,0.5,0.5,0.165
hard_0064,hard,ai,search,0.675,0.47153913663799923,13.725,0.3342891366379992,0.6,0.52,0.245
hard_0065,hard,ai,search,0.6,0.38291391138369124,15.725,0.22566391138369124,0.495,0.495,0.175
