category,k_I,k_J,d_hat_I,d_hat_J,search_match_rate,search_match_rate_se,central_match_rate,central_match_rate_se,search_total_value_per_customer,search_total_value_per_customer_se,search_attention_per_customer,search_attention_per_customer_se,search_net_welfare,search_net_welfare_se,central_total_value_per_customer,central_total_value_per_customer_se,central_attention_per_customer,central_attention_per_customer_se,central_net_welfare,central_net_welfare_se,net_welfare_diff,net_welfare_diff_se,lambda_star
hard,6,4,0.809,0.807,0.6,0.004,0.413,0.005,0.397,0.003,15.386,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0124
hard,1,5,0.649,0.808,0.599,0.004,0.371,0.005,0.395,0.003,15.876,0.107,0.237,0.004,0.253,0.004,6.0,0.0,0.193,0.004,-0.044,0.004,0.0144
hard,2,5,0.778,0.808,0.599,0.004,0.41,0.005,0.396,0.003,15.502,0.105,0.241,0.004,0.279,0.004,6.0,0.0,0.219,0.004,-0.023,0.004,0.0124
hard,3,5,0.803,0.808,0.598,0.004,0.415,0.005,0.396,0.003,15.452,0.104,0.241,0.004,0.282,0.004,6.0,0.0,0.222,0.004,-0.019,0.004,0.012
hard,4,5,0.808,0.808,0.599,0.004,0.414,0.005,0.397,0.003,15.416,0.104,0.242,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.021,0.004,0.0123
hard,5,5,0.809,0.808,0.6,0.004,0.413,0.005,0.397,0.003,15.383,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0124
hard,6,5,0.809,0.808,0.6,0.004,0.413,0.005,0.397,0.003,15.386,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0123
hard,1,6,0.649,0.808,0.599,0.004,0.371,0.005,0.395,0.003,15.876,0.107,0.237,0.004,0.253,0.004,6.0,0.0,0.193,0.004,-0.044,0.004,0.0144
hard,2,6,0.778,0.808,0.599,0.004,0.41,0.005,0.396,0.003,15.502,0.105,0.241,0.004,0.279,0.004,6.0,0.0,0.219,0.004,-0.023,0.004,0.0124
hard,3,6,0.803,0.808,0.598,0.004,0.415,0.005,0.396,0.003,15.452,0.104,0.241,0.004,0.282,0.004,6.0,0.0,0.222,0.004,-0.019,0.004,0.012
hard,4,6,0.808,0.808,0.599,0.004,0.414,0.005,0.397,0.003,15.416,0.104,0.242,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.021,0.004,0.0123
hard,5,6,0.809,0.808,0.6,0.004,0.413,0.005,0.397,0.003,15.383,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0124
hard,6,6,0.809,0.808,0.6,0.004,0.413,0.005,0.397,0.003,15.386,0.104,0.243,0.004,0.281,0.004,6.0,0.0,0.221,0.004,-0.022,0.004,0.0123
